,Summary,Majorblocks,Assignee,Date,Time
0,[TGV] performance issue for mask producing comparison instructions,Execution Unit ,Nicolas Brunie,2022-10-18,15:44:00
5,[TGV]:: COSIM VS RTL VL/VTYPE MISMATCH incase of B2B vsetvli & vsetivli ,Execution Unit ,Josh Smith,2022-10-18,05:59:00
8,Dhrystone Performance in HB ,Instruction Decode and Dispatch ,Josh Smith,2022-10-17,15:29:00
12,[TGV] Milestone 13 L2 tests failing,Instruction Decode and Dispatch ,Josh Smith,2022-10-14,11:56:00
13,[TGV]: SdIssQ Entry must have issued to be valid in this pipe,Instruction Decode and Dispatch ,Yohann Rabefarihy,2022-10-14,10:09:00
18,[TGV] Fix LSIssQ to handle multiple STBPipe broadcasts,Execution Unit ,Yohann Rabefarihy,2022-10-13,06:30:00
19,"[TGV] Fix LsIssQ assert ""vagu require store data uopID not issued twice""",Instruction Decode and Dispatch ,Yohann Rabefarihy,2022-10-13,05:00:00
21,[LSU FV]: PTW with DTLB MMIO is sending RH source above (nMSHRs*nCacheClients) causing RTL assertion fail,Execution Unit ,John Ingalls,2022-10-12,22:55:00
22,[LSU FV]: Probe request unable to read L1DC due to unrolling LST reads and MSHR Tag Writes,Execution Unit ,John Ingalls,2022-10-12,22:11:00
27,[LSU FV]: PTW with DTLB MMIO Response is violating the RH minimum size request assert,Instruction Decode and Dispatch ,John Ingalls,2022-10-12,07:58:00
29,[TGV] LsIssQEntry_assert : vagu require store data uopID not issued twice,Execution Unit ,Yohann Rabefarihy,2022-10-11,22:12:00
31,[TGV] 32-bit unmasked strided load hanging,Instruction Decode and Dispatch ,Brad Wu,2022-10-11,16:08:00
34,Assertion Failure: unrolled load tail should follow first through LDWB loop-back in-order until MAL-1871,Instruction Decode and Dispatch ,John Ingalls,2022-10-11,06:44:00
36,[LSU FV]: Probe request unable to read L1DC even after asserting tsArb_lsIssBlock is causing the Probe to remain stalled,Execution Unit ,John Ingalls,2022-10-11,03:32:00
